product_id,product_name,pfamily_id,ptype_id,intro_date
1,Breeze,3,3,1/1/2012
2,Lumine,1,3,7/1/2023
3,Electro,2,3,7/24/2023
4,StellarShade,6,1,7/30/2023
5,Sweep,5,3,10/9/2023
6,AquaFrost,8,2,11/21/2023
7,Prodigy,6,2,1/2/2024
8,Celestial,3,3,2/27/2024
9,VitaFuel,7,3,4/16/2024
10,Nova,4,2,5/5/2024
11,LunaBloom,1,3,6/25/2024
12,PrismTech,7,3,9/9/2024
13,ElixirX,5,3,10/13/2024
14,Zenith Power,6,3,1/11/2025
15,Flare,6,3,1/28/2025
16,Aero,2,2,4/2/2025
17,Glow,7,1,4/13/2025
18,Flex,7,2,5/4/2025
19,Ava,3,3,5/29/2025
20,HydroStream,3,1,7/3/2025
21,Wave,8,1,8/16/2025
22,LunaLux,1,2,11/3/2025
23,PulsePro,4,1,12/20/2025
24,Vita,1,2,1/22/2026
25,Sonic,2,1,2/23/2026
26,WarpFi,5,1,3/22/2026
27,ZenZest,4,2,5/13/2026
28,Brilliance,4,2,6/1/2026
29,NovaGlide,2,1,6/24/2026
30,Chillbro,4,3,8/15/2026
31,Auramist,1,3,11/2/2026
32,FitFusion,3,1,1/24/2027
33,Aquabeat,1,2,2/22/2027
34,Sunpledge,2,2,4/9/2027
35,AirBliss,8,2,4/28/2027
36,Flow,2,3,5/26/2027
37,Radiance,4,1,8/13/2027
38,Soothe,2,2,10/21/2027
39,MaxFlex,4,2,12/9/2027
40,OmniLink,7,1,12/14/2027
41,Tranquility,3,1,3/15/2028
42,OptiFocus,5,2,3/18/2028
43,Pearl+,5,1,4/13/2028
44,AeroFit,6,3,4/29/2028
45,Ares,8,1,8/3/2028
46,Fluonce,5,1,11/7/2028
47,LunaSoothe,8,2,12/29/2028
48,SnapFit,3,2,1/16/2029
49,VitaVitality,4,1,2/4/2029
50,Zenith Flux,1,1,4/14/2029
